window_size,pretrain,freeze_encoder,n_pos_windows,n_neg_windows,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std
8,True,True,78,22547,0.5796,0.4745,0.5350,0.4472,0.5533,0.4554,0.8828,0.2073,0.8590,0.1991
8,True,False,78,22547,0.7309,0.4160,0.4175,0.3753,0.4846,0.3748,0.8234,0.2473,0.8316,0.2054
8,False,False,78,22547,0.5036,0.4873,0.2450,0.3588,0.2831,0.3765,0.8181,0.1861,0.7994,0.1831
16,True,True,290,21127,0.8985,0.1527,0.6294,0.3604,0.6868,0.3260,0.9233,0.1155,0.9056,0.1236
16,True,False,290,21127,0.8484,0.2688,0.4000,0.3258,0.4908,0.3198,0.9277,0.0816,0.9096,0.0806
16,False,False,290,21127,0.6768,0.3998,0.2037,0.2420,0.2800,0.2788,0.8750,0.1059,0.8160,0.1342
32,True,True,949,18148,0.5830,0.1445,0.5478,0.2359,0.5495,0.1919,0.6297,0.1604,0.5895,0.1435
32,True,False,949,18148,0.5383,0.2641,0.6245,0.4055,0.5602,0.3304,0.7217,0.2340,0.6966,0.2170
32,False,False,949,18148,0.6112,0.1781,0.6789,0.3644,0.6164,0.2683,0.7444,0.2354,0.7088,0.2073
