window_size,dim_feedforward,dropout,max_trans,freeze_encoder,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,n_valid_evals
8,2048,0.1000,0.2000,True,0.7700,0.3871,0.6450,0.3622,0.6907,0.3635,0.8581,0.2592,0.8593,0.2383,25
8,2048,0.1000,0.4000,True,0.7408,0.3744,0.6150,0.3617,0.6593,0.3568,0.8470,0.2393,0.8277,0.2189,25
8,2048,0.1000,0.6000,True,0.7590,0.3830,0.6325,0.3475,0.6829,0.3548,0.8556,0.2324,0.8361,0.2274,25
8,2048,0.2000,0.2000,True,0.7700,0.3871,0.6450,0.3622,0.6907,0.3635,0.8578,0.2599,0.8575,0.2388,25
8,2048,0.2000,0.4000,True,0.7460,0.3769,0.6250,0.3575,0.6697,0.3559,0.8480,0.2381,0.8297,0.2189,25
8,2048,0.2000,0.6000,True,0.7590,0.3830,0.6375,0.3500,0.6859,0.3566,0.8558,0.2323,0.8357,0.2277,25
8,2048,0.3000,0.2000,True,0.7730,0.3886,0.6450,0.3622,0.6919,0.3640,0.8584,0.2590,0.8579,0.2386,25
8,2048,0.3000,0.4000,True,0.7453,0.3766,0.6200,0.3588,0.6654,0.3560,0.8486,0.2370,0.8300,0.2186,25
8,2048,0.3000,0.6000,True,0.7630,0.3850,0.6325,0.3484,0.6838,0.3551,0.8570,0.2310,0.8365,0.2269,25
16,2048,0.1000,0.2000,True,0.9289,0.0940,0.7131,0.3701,0.7469,0.3285,0.9273,0.1179,0.9198,0.1185,25
16,2048,0.1000,0.4000,True,0.9042,0.1401,0.7681,0.3439,0.7948,0.3156,0.9275,0.1281,0.9149,0.1404,25
16,2048,0.1000,0.6000,True,0.9282,0.0941,0.7594,0.3488,0.7882,0.3147,0.9273,0.1233,0.9200,0.1247,25
16,2048,0.2000,0.2000,True,0.9352,0.0757,0.7238,0.3637,0.7574,0.3219,0.9264,0.1208,0.9198,0.1203,25
16,2048,0.2000,0.4000,True,0.9036,0.1398,0.7712,0.3439,0.7965,0.3159,0.9266,0.1302,0.9143,0.1418,25
16,2048,0.2000,0.6000,True,0.9272,0.0974,0.7594,0.3497,0.7877,0.3163,0.9266,0.1250,0.9198,0.1259,25
16,2048,0.3000,0.2000,True,0.9364,0.0721,0.7262,0.3604,0.7602,0.3203,0.9258,0.1230,0.9198,0.1216,25
16,2048,0.3000,0.4000,True,0.9011,0.1453,0.7750,0.3469,0.7977,0.3202,0.9254,0.1331,0.9137,0.1437,25
16,2048,0.3000,0.6000,True,0.9243,0.1013,0.7600,0.3492,0.7874,0.3172,0.9259,0.1267,0.9201,0.1267,25
32,2048,0.1000,0.2000,False,0.6255,0.1777,0.7497,0.3074,0.6705,0.2365,0.7627,0.2120,0.7119,0.1924,25
32,2048,0.1000,0.4000,False,0.5970,0.2230,0.7294,0.3681,0.6427,0.2885,0.7470,0.2363,0.6988,0.2098,25
32,2048,0.1000,0.6000,False,0.5712,0.2296,0.6866,0.4005,0.6030,0.3087,0.7647,0.2318,0.7304,0.2305,25
32,2048,0.2000,0.2000,False,0.6177,0.1937,0.7477,0.3102,0.6670,0.2413,0.7558,0.2138,0.7038,0.1963,25
32,2048,0.2000,0.4000,False,0.5929,0.2150,0.7273,0.3671,0.6388,0.2840,0.7483,0.2324,0.7014,0.2128,25
32,2048,0.2000,0.6000,False,0.5748,0.2223,0.6880,0.3936,0.6053,0.3026,0.7626,0.2343,0.7307,0.2319,25
32,2048,0.3000,0.2000,False,0.6384,0.1464,0.7586,0.3002,0.6778,0.2233,0.7591,0.2076,0.7093,0.1924,25
32,2048,0.3000,0.4000,False,0.5937,0.2176,0.7330,0.3690,0.6420,0.2864,0.7550,0.2317,0.7096,0.2150,25
32,2048,0.3000,0.6000,False,0.5761,0.2184,0.6925,0.3910,0.6087,0.3007,0.7662,0.2323,0.7339,0.2302,25
